Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
ALL OTHER PEST,ALL,BAIT SOLID,STARTER 1,0,0,
,,BAIT STATION,STARTER 3,0,0,
,,POWDER,STARTER 1,0,0,
,,,STARTER 2,0,0,
,RODENT,BAIT SOLID,STARTER 1,"33,476",2904, € 	11.53 
,,BAIT STATION,STARTER 3,"24,818",516, € 	48.10 
,,POWDER,STARTER 1,"25,502",1544, € 	16.52 
,,,STARTER 2,"9,421",242, € 	38.93 
AREA CONTINUOUS,,,REFILL 1,"2,176",322, € 	6.76 
,,,REFILL 2,"5,945",123, € 	48.33 
,,,REFILL 3,236,9, € 	26.28 
,,,REFILL 6,167,4, € 	41.79 
,,,STARTER 1,"102,291",5303, € 	19.29 
,,,STARTER 2,"8,001",561, € 	14.26 
,,,STARTER 3,"1,570",40, € 	39.26 
,ANT/ROACH,,STARTER 1,"45,722",4070, € 	11.23 
,,,STARTER 2,"5,305",86, € 	61.68 
,,,STARTER 3,"5,396",232, € 	23.26 
,,,STARTER 5,"5,761",338, € 	17.04 
,,,STARTER AO,"2,330",16, € 	145.62 
,,ASSORTED FORM,STARTER 1,"45,281",947, € 	47.82 
,,BAIT GEL,STARTER 1,"172,271",6005, € 	28.69 
,,BAIT LIQUID,STARTER 5,"3,529",147, € 	24.00 
,,BAIT SOLID,REFILL 1,"2,450",235, € 	10.42 
,,,STARTER 1,"2,287,343",125359, € 	18.25 
,,,STARTER 2,"20,889",1292, € 	16.17 
,,,STARTER 3,"519,683",46576, € 	11.16 
,,,STARTER 4,"83,459",6908, € 	12.08 
,,,STARTER 5,"153,499",12130, € 	12.65 
,,,STARTER 6,"8,376",132, € 	63.45 
,,,STARTER AO,"4,287",217, € 	19.76 
,,BAIT STATION,STARTER 1,"372,711",26606, € 	14.01 
,,,STARTER 2,"65,591",7840, € 	8.37 
,,,STARTER 3,"15,646",658, € 	23.78 
,,,STARTER 4,"6,186",683, € 	9.06 
,,,STARTER 5,"13,287",431, € 	30.83 
,,,STARTER 6,"5,136",809, € 	6.35 
,,,STARTER AO,"33,940",1476, € 	22.99 
,,GEL BOTTLE,STARTER 3,"281,780",5745, € 	49.05 
,,GEL TUBE,STARTER 1,"11,643",459, € 	25.37 
,,,STARTER 2,"31,012",1193, € 	25.99 
,,,STARTER AO,"2,018",100, € 	20.18 
,,GLUE STRIP,STARTER 1,"11,508",908, € 	12.67 
,,,STARTER AO,,,
,,LIQUID BOTTLE,STARTER 1,"289,387",22932, € 	12.62 
,,LIQUID PUMP,STARTER 1,"23,104",1381, € 	16.73 
,,PELLET/GRANULE,STARTER 1,"15,111",1093, € 	13.83 
,,,STARTER 2,"9,976",274, € 	36.41 
,,POWDER,STARTER 1,"1,343,053",74503, € 	18.03 
,,,STARTER 2,"41,371",1393, € 	29.70 
,,,STARTER 3,"20,027",619, € 	32.35 
,,TRAP,STARTER 1,"370,742",18362, € 	20.19 
,,,STARTER 2,"803,082",47810, € 	16.80 
,,,STARTER 6,"6,374",212, € 	30.07 
,,,STARTER AO,"6,121",432, € 	14.17 
,MOSQUITO,,REFILL 1,"15,845",1971, € 	8.04 
,,,REFILL 1 + 3,"22,250",770, € 	28.90 
,,,REFILL AO,"15,410",1572, € 	9.80 
,,,STARTER 1,"20,957",1228, € 	17.07 
,,,STARTER 2,"5,656",302, € 	18.73 
,,,STARTER 3 + 3,474,27, € 	17.54 
,,,STARTER 4,"18,967",1358, € 	13.97 
,,,STARTER 6,,,
,,,STARTER AO,"10,129",599, € 	16.91 
,,ASSORTED FORM,REFILL 1,"118,875",1572, € 	75.62 
,,,STARTER 1,"149,924",2033, € 	73.75 
,,,STARTER 2,408,6, € 	67.95 
,,,STARTER 4,"9,799",116, € 	84.47 
,,BAIT STATION,STARTER 1,"17,991",100, € 	179.91 
,,BUTANE CARTRIDGE,REFILL 1,"929,516",28212, € 	32.95 
,,,REFILL 2,,,
,,,REFILL 4,"23,833",308, € 	77.38 
,,,STARTER 1,"750,807",17635, € 	42.57 
,,,STARTER 1 + 1,,,
,,,STARTER 1 + 4,"23,287",241, € 	96.62 
,,,STARTER 4,"21,181",249, € 	85.07 
,,CANDLE,STARTER 1,"229,584",12001, € 	19.13 
,,,STARTER 2,"21,092",1223, € 	17.25 
,,,STARTER 3,"84,239",7230, € 	11.65 
,,,STARTER 4,"18,877",867, € 	21.77 
,,,STARTER AO,"39,318",1833, € 	21.45 
,,COIL,STARTER 1,"152,581",12709, € 	12.01 
,,,STARTER 2,"7,031",686, € 	10.25 
,,,STARTER 3,"5,020",589, € 	8.52 
,,,STARTER 4,"20,721",459, € 	45.14 
,,,STARTER 5,"36,848",2259, € 	16.31 
,,,STARTER AO,"240,547",15568, € 	15.45 
,,ELECTRIC LIQUID,REFILL 1,"130,397",27483, € 	4.74 
,,,REFILL 2,"9,181",636, € 	14.44 
,,,REFILL 2 + 2,"2,020",212, € 	9.53 
,,,REFILL 3,"87,370",6494, € 	13.45 
,,,REFILL 4,"60,810",2271, € 	26.78 
,,,REFILL 5,"2,306",90, € 	25.62 
,,,REFILL 6,"102,140",4290, € 	23.81 
,,,REFILL AO,"7,551",496, € 	15.22 
,,,STARTER 1,"102,124",10078, € 	10.13 
,,,STARTER 1 + 1,"255,047",51055, € 	5.00 
,,,STARTER 1 + 5,"2,152",87, € 	24.74 
,,,STARTER 2 + 2,"39,098",2503, € 	15.62 
,,,STARTER 2 + 6,,,
,,,STARTER 3 + 3,"159,816",7888, € 	20.26 
,,,STARTER 4 + 4,"5,039",204, € 	24.70 
,,,STARTER 5,414,16, € 	25.89 
,,,STARTER 5 + 5,"38,072",1369, € 	27.81 
,,ELECTRIC MAT,REFILL 4,,,
,,,REFILL AO,"5,045",806, € 	6.26 
,,,STARTER 1 + 1,"18,846",2388, € 	7.89 
,,,STARTER 3 + 3,"4,594",223, € 	20.60 
,,,STARTER 4 + 4,984,29, € 	33.92 
,,ELECTRIC SAND,REFILL 1,,,
,,GLUE STRIP,STARTER 1,"43,800",5966, € 	7.34 
,,,STARTER AO,"22,161",2166, € 	10.23 
,,PELLET/GRANULE,REFILL 1,"26,115",1537, € 	16.99 
,,ROLL ON,STARTER 1,361,32, € 	11.29 
,,SACHET,STARTER 1,"22,515",3157, € 	7.13 
,,,STARTER 5,"7,495",1317, € 	5.69 
,,TORCH,STARTER 1,"28,442",2221, € 	12.81 
,,,STARTER AO,"72,182",5027, € 	14.36 
,,TRAP,STARTER 3,"10,506",264, € 	39.80 
,,,STARTER 4,"13,467",401, € 	33.58 
,MOTH,,STARTER 1,"206,533",16339, € 	12.64 
,,,STARTER 2,"105,067",8673, € 	12.11 
,,,STARTER 3,"47,390",2237, € 	21.18 
,,,STARTER 4,"1,552",60, € 	25.87 
,,,STARTER 5,"14,717",606, € 	24.29 
,,,STARTER 6,"55,247",2200, € 	25.11 
,,,STARTER AO,"36,527",2278, € 	16.03 
,,AEROSOL,STARTER 1,"996,623",31663, € 	31.48 
,,,STARTER 2,"125,763",4674, € 	26.91 
,,,STARTER 3,"152,867",7017, € 	21.79 
,,,STARTER 4,"379,511",12812, € 	29.62 
,,,STARTER 5,"270,646",4874, € 	55.53 
,,,STARTER 6,"347,955",5183, € 	67.13 
,,,STARTER AO,"5,041,737",40111, € 	125.69 
,,ALL OTHER FORM,REFILL 1,"9,356",637, € 	14.69 
,,BAIT SOLID,STARTER 1,"205,542",15806, € 	13.00 
,,BALL,STARTER 1,"26,974",2257, € 	11.95 
,,,STARTER AO,"5,644",455, € 	12.40 
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"52,718",2562, € 	20.58 
,,GEL TUBE,STARTER 1,"16,710",4894, € 	3.41 
,,,STARTER 3,"1,382",138, € 	10.02 
,,,STARTER 4,667,35, € 	19.05 
,,,STARTER 5,932,42, € 	22.19 
,,GLUE STRIP,STARTER 1,"7,589",970, € 	7.82 
,,,STARTER 3,"2,756",119, € 	23.16 
,,,STARTER 4,"10,201",404, € 	25.25 
,,,STARTER AO,"26,912",3344, € 	8.05 
,,OIL SPRAY,STARTER 2,"4,850",128, € 	37.89 
,,PAPER/CARD,STARTER 1,"1,792,493",29642, € 	60.47 
,,,STARTER 2,"14,305",964, € 	14.84 
,,,STARTER 3,"625,564",27471, € 	22.77 
,,,STARTER 4,"436,478",11144, € 	39.17 
,,,STARTER 5,"180,813",3892, € 	46.46 
,,,STARTER 6,"11,837",201, € 	58.89 
,,,STARTER AO,"574,501",8446, € 	68.02 
,,PATCH,STARTER 1,"13,651",514, € 	26.56 
,,SACHET,STARTER 1,"58,012",5754, € 	10.08 
,,,STARTER 2,"19,387",5434, € 	3.57 
,,,STARTER 3,"217,441",15292, € 	14.22 
,,,STARTER 4,26,1, € 	25.67 
,,,STARTER 6,416,8, € 	52.04 
,,,STARTER AO,"79,462",6353, € 	12.51 
,,TRAP,REFILL 1,"11,004",697, € 	15.79 
,,,REFILL 1 + 3,"1,704",21, € 	81.15 
,,,STARTER 1,"761,327",70143, € 	10.85 
,,,STARTER 2,"6,413",1423, € 	4.51 
,,,STARTER 3,"513,357",44676, € 	11.49 
,,,STARTER 4,"21,854",1767, € 	12.37 
,,,STARTER 6,"4,208",483, € 	8.71 
,,,STARTER AO,"329,093",27951, € 	11.77 
,,WOOD,STARTER 1,"148,752",12467, € 	11.93 
,,,STARTER 2,230,31, € 	7.42 
,,,STARTER 6,66,4, € 	16.38 
,,,STARTER AO,"460,214",32722, € 	14.06 
,MULTI CRAWLING,BAIT STATION,STARTER 1,"448,217",32540, € 	13.77 
,,,STARTER 2,"18,511",2229, € 	8.30 
,,BORIC ACID,STARTER AO,"20,509",673, € 	30.47 
,,GLUE STRIP,STARTER AO,"4,364",154, € 	28.34 
,,LIQUID TRIGGER,STARTER 1,"6,916",379, € 	18.25 
,,POWDER,STARTER 1,"2,740",70, € 	39.14 
,,TRAP,STARTER 1,"47,452",469, € 	101.18 
,MULTI FLYING & CRAWLING,CANDLE,STARTER 1,317,18, € 	17.64 
,,,STARTER 2,"3,574",168, € 	21.28 
,,,STARTER 4,"2,289",104, € 	22.01 
,,,STARTER AO,"9,159",623, € 	14.70 
,,COIL,STARTER 1,"8,588",652, € 	13.17 
,,ELECTRIC LIQUID,REFILL 1,"60,267",14988, € 	4.02 
,,,STARTER 1,,,
,,,STARTER 1 + 1,"92,734",7214, € 	12.85 
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"102,510",6623, € 	15.48 
,,,STARTER 2,"43,527",1223, € 	35.59 
,,LIQUID BOTTLE,REFILL 1,"9,610",491, € 	19.57 
,,,STARTER 1,"56,139",2919, € 	19.23 
,,LIQUID POWER SPRAYER,STARTER 3,"9,082",178, € 	51.02 
,,PELLET/GRANULE,STARTER 1,"1,430",101, € 	14.16 
,,TRAP,STARTER 1,699,78, € 	8.96 
,,,STARTER 4,"3,878",408, € 	9.50 
,,,STARTER AO,"16,902",603, € 	28.03 
,OTHER CRAWLING,,STARTER 1,"173,376",11195, € 	15.49 
,,,STARTER 3,"10,322",460, € 	22.44 
,,,STARTER 4,"11,480",1869, € 	6.14 
,,,STARTER AO,,,
,,BAIT SOLID,STARTER 3,"2,062",80, € 	25.77 
,,BAIT STATION,STARTER 1,"296,421",12001, € 	24.70 
,,,STARTER 3,"33,110",3198, € 	10.35 
,,,STARTER 6,"249,981",15200, € 	16.45 
,,,STARTER AO,"216,407",17856, € 	12.12 
,,BALL,STARTER 1,"6,726",435, € 	15.46 
,,FOGGER/FUMIGATOR/BOMB,STARTER 2,"423,111",38243, € 	11.06 
,,GEL TUBE,STARTER 1,,,
,,GLUE STRIP,STARTER 1,"158,980",11349, € 	14.01 
,,,STARTER 6,"6,767",215, € 	31.47 
,,LIQUID BOTTLE,STARTER 1,"18,922",189, € 	100.12 
,,LIQUID TRIGGER,STARTER 1,"4,327",215, € 	20.13 
,,PAPER/CARD,STARTER AO,"27,538",657, € 	41.92 
,,PELLET/GRANULE,STARTER 1,"3,253",196, € 	16.60 
,,POWDER,STARTER 1,"3,540",246, € 	14.39 
,,STICK,STARTER 1,"325,209",10912, € 	29.80 
,,,STARTER AO,"9,640",282, € 	34.19 
,,TRAP,STARTER 1,"18,786",1072, € 	17.52 
,,,STARTER 2,"10,486",1425, € 	7.36 
,,,STARTER 6,,,
,,,STARTER AO,"23,423",1886, € 	12.42 
,,WOOD,STARTER 1,"9,999",471, € 	21.23 
,OTHER FLYING,,STARTER 1,"5,053",463, € 	10.91 
,,,STARTER 2,"42,279",3361, € 	12.58 
,,,STARTER 3,"10,182",398, € 	25.58 
,,,STARTER 4,"25,177",1295, € 	19.44 
,,,STARTER 5,"1,070",12, € 	89.19 
,,,STARTER AO,"24,939",894, € 	27.90 
,,ASSORTED FORM,STARTER 1 + 5,"3,160",358, € 	8.83 
,,BAIT LIQUID,REFILL 1,"8,074",778, € 	10.38 
,,BAIT SOLID,REFILL 2,"71,121",4930, € 	14.43 
,,,REFILL 3,"55,635",3838, € 	14.50 
,,,STARTER 1,"12,397",530, € 	23.39 
,,,STARTER 3,"112,592",7523, € 	14.97 
,,BAIT STATION,STARTER 1,"1,223",73, € 	16.75 
,,,STARTER 2,"3,380",172, € 	19.65 
,,GLUE STRIP,STARTER 1,"254,792",24208, € 	10.53 
,,,STARTER 2,"1,237",33, € 	37.50 
,,,STARTER 3,"87,087",5826, € 	14.95 
,,,STARTER 4,"2,996",1118, € 	2.68 
,,,STARTER AO,"171,437",18950, € 	9.05 
,,PAPER/CARD,STARTER 3,,,
,,SACHET,STARTER 1,"1,386",348, € 	3.98 
,,TRAP,REFILL 1,"8,314",520, € 	15.99 
,,,REFILL 2,"10,752",222, € 	48.43 
,,,REFILL 3,"3,092",308, € 	10.04 
,,,REFILL 4,"3,352",35, € 	95.77 
,,,REFILL AO,"4,740",287, € 	16.52 
,,,STARTER 1,"3,562,284",208529, € 	17.08 
,,,STARTER 2,"856,874",60488, € 	14.17 
,,,STARTER 3,"1,026,667",68034, € 	15.09 
,,,STARTER 4,"226,624",19418, € 	11.67 
,,,STARTER 5,"92,873",5922, € 	15.68 
,,,STARTER 6,"107,637",7080, € 	15.20 
,,,STARTER AO,"141,927",10408, € 	13.64 
AREA INSTANT,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,ANT/ROACH,,STARTER 1,"8,039",581, € 	13.84 
,,,STARTER 2,"1,034",62, € 	16.68 
,,,STARTER 6,"1,388",44, € 	31.54 
,,AEROSOL,STARTER 1,"356,320",28828, € 	12.36 
,,,STARTER 2,"55,937",1666, € 	33.58 
,,,STARTER 3,"2,740",131, € 	20.92 
,,,STARTER 4,"11,858",99, € 	119.77 
,,BAIT SOLID,STARTER 1,"24,794",827, € 	29.98 
,,LIQUID BOTTLE,STARTER 1,"3,885",400, € 	9.71 
,,LIQUID POWER SPRAYER,STARTER 1,"30,182",839, € 	35.97 
,,,STARTER 2,"65,881",2455, € 	26.84 
,,,STARTER 3,"1,770",34, € 	52.05 
,,,STARTER AO,721,7, € 	103.03 
,,LIQUID PUMP,STARTER 1,"1,543",84, € 	18.37 
,,LIQUID TRIGGER,STARTER 1,"153,886",6237, € 	24.67 
,,,STARTER 3,"14,954",409, € 	36.56 
,,,STARTER 4,"16,079",969, € 	16.59 
,MOSQUITO,,REFILL AO,,,
,,,STARTER 1,"70,965",3144, € 	22.57 
,,,STARTER 2,"20,271",559, € 	36.26 
,,,STARTER 3,"10,312",662, € 	15.58 
,,,STARTER 4,"1,368",76, € 	18.00 
,,,STARTER 6,"11,727",608, € 	19.29 
,,,STARTER AO,"9,344",239, € 	39.10 
,,AEROSOL,STARTER 1,"113,268",9970, € 	11.36 
,,,STARTER 2,"26,315",1331, € 	19.77 
,,,STARTER 3,"30,487",2307, € 	13.22 
,,,STARTER 4,"7,767",581, € 	13.37 
,,,STARTER 5,"57,512",1459, € 	39.42 
,,,STARTER AO,"12,825",196, € 	65.43 
,,ASSORTED FORM,STARTER 1,504,34, € 	14.84 
,,,STARTER 3,82,3, € 	27.38 
,,ELECTRIC MAT,STARTER 1,"24,001",2480, € 	9.68 
,,ELECTRIC SAND,STARTER 2,,,
,,GLUE STRIP,STARTER AO,"55,006",5856, € 	9.39 
,,LIQUID PUMP,STARTER 1,"27,072",2135, € 	12.68 
,,,STARTER 2,"20,347",772, € 	26.36 
,,,STARTER 4,"2,076",60, € 	34.60 
,,LIQUID TRIGGER,STARTER 1,"59,994",3647, € 	16.45 
,,,STARTER 2,"77,767",2965, € 	26.23 
,,,STARTER 3,"23,345",776, € 	30.08 
,,,STARTER 4,"38,348",901, € 	42.56 
,,,STARTER 6,"6,691",118, € 	56.71 
,,PATCH,STARTER AO,"1,194",84, € 	14.21 
,MOTH,,STARTER 1,,,
,,,STARTER 2,"2,319",58, € 	39.98 
,,AEROSOL,STARTER 1,"9,626",375, € 	25.67 
,,LIQUID POWER SPRAYER,STARTER 1,"29,836",702, € 	42.50 
,,,STARTER 2,"4,094",50, € 	81.87 
,,LIQUID PUMP,STARTER 1,"109,146",5221, € 	20.91 
,,,STARTER 2,"28,905",992, € 	29.14 
,,,STARTER 3,"23,473",472, € 	49.73 
,,LIQUID TRIGGER,STARTER 1,"294,349",15111, € 	19.48 
,,,STARTER 2,"4,843",302, € 	16.04 
,,WOOD,STARTER 1,"66,727",3548, € 	18.81 
,,,STARTER AO,"2,797",186, € 	15.04 
,MULTI CRAWLING,AEROSOL,STARTER 1,"1,553",374, € 	4.15 
,,,STARTER 2,"38,818",8516, € 	4.56 
,,LIQUID TRIGGER,STARTER 1,"133,920",5706, € 	23.47 
,MULTI FLYING & CRAWLING,AEROSOL,REFILL 1,"9,041",324, € 	27.90 
,,,STARTER 1,"1,082,928",110156, € 	9.83 
,,,STARTER 2,"70,409",3437, € 	20.49 
,,,STARTER 3,"27,823",1618, € 	17.20 
,,,STARTER 4,"37,063",1359, € 	27.27 
,,,STARTER 5,"15,219",600, € 	25.37 
,,,STARTER AO,"18,367",169, € 	108.68 
,,FOAM,STARTER 1,"5,958",145, € 	41.09 
,,LIQUID POWER SPRAYER,STARTER 1,"92,236",2185, € 	42.21 
,,,STARTER 1 + 1,"12,299",398, € 	30.90 
,,,STARTER 2,"36,035",821, € 	43.89 
,,,STARTER 4,"9,698",90, € 	107.76 
,,LIQUID PUMP,STARTER 1,"144,981",11182, € 	12.97 
,,,STARTER 2,"5,636",95, € 	59.33 
,,,STARTER 3,494,14, € 	35.32 
,,LIQUID TRIGGER,STARTER 1,"2,071,300",105380, € 	19.66 
,,,STARTER 2,"54,314",2323, € 	23.38 
,,,STARTER 3,"52,257",2059, € 	25.38 
,,,STARTER 4,"31,607",867, € 	36.46 
,,,STARTER 6,"7,413",95, € 	78.03 
,,,STARTER AO,"13,313",153, € 	87.01 
,OTHER CRAWLING,,REFILL 1,929,15, € 	61.93 
,,,STARTER 1,"56,747",3453, € 	16.43 
,,,STARTER 2,"11,091",269, € 	41.23 
,,,STARTER 3,352,10, € 	35.17 
,,,STARTER 4,"26,028",540, € 	48.20 
,,,STARTER 6,"2,121",35, € 	60.59 
,,AEROSOL,STARTER 1,"1,776,723",98636, € 	18.01 
,,,STARTER 2,"427,331",13115, € 	32.58 
,,,STARTER 3,"85,805",2870, € 	29.90 
,,,STARTER 4,"6,622",37, € 	178.97 
,,,STARTER 5,"5,926",152, € 	38.99 
,,,STARTER AO,"28,238",263, € 	107.37 
,,FOAM,STARTER 4,"114,887",3667, € 	31.33 
,,,STARTER AO,"7,030",142, € 	49.51 
,,LIQUID BOTTLE,REFILL 1,"2,461",86, € 	28.61 
,,LIQUID POWER SPRAYER,STARTER 1,"346,885",8595, € 	40.36 
,,,STARTER 1 + 2,"26,460",527, € 	50.21 
,,,STARTER 1 + 3,"2,648",40, € 	66.20 
,,,STARTER 2,"61,971",976, € 	63.49 
,,,STARTER 3,"64,963",1300, € 	49.97 
,,,STARTER 4,"103,665",898, € 	115.44 
,,LIQUID PUMP,STARTER 1,"185,401",5248, € 	35.33 
,,,STARTER 2,"193,727",6398, € 	30.28 
,,LIQUID TRIGGER,STARTER 1,"574,969",28146, € 	20.43 
,,,STARTER 2,"82,855",2373, € 	34.92 
,,,STARTER 3,"10,309",98, € 	105.20 
,,,STARTER 4,"8,335",84, € 	99.23 
,,,STARTER AO,"53,666",495, € 	108.42 
,OTHER FLYING,,STARTER 1,"23,750",1244, € 	19.09 
,,AEROSOL,STARTER 1,"435,580",38640, € 	11.27 
,,,STARTER 2,"95,498",3893, € 	24.53 
,,,STARTER 4,"35,309",1942, € 	18.18 
,,ASSORTED FORM,STARTER 1,"7,335",366, € 	20.04 
,,FOAM,STARTER 1,"1,368,449",99570, € 	13.74 
,,,STARTER 2,"182,749",10437, € 	17.51 
,,,STARTER 3,"15,708",577, € 	27.22 
,,,STARTER 4,"28,459",1548, € 	18.38 
,,,STARTER 6,494,29, € 	17.05 
,,GLUE STRIP,STARTER 4,"12,296",190, € 	64.72 
,,LIQUID POWER SPRAYER,STARTER 1,"188,097",10497, € 	17.92 
,,,STARTER 2,"22,674",803, € 	28.24 
,,,STARTER 3,"417,346",12090, € 	34.52 
,,,STARTER 6,"182,812",2936, € 	62.27 
,,LIQUID PUMP,STARTER 1,"3,777",173, € 	21.83 
,,,STARTER 2,"4,954",119, € 	41.63 
,,LIQUID TRIGGER,STARTER 1,"212,934",13201, € 	16.13 
,,,STARTER 2,"7,483",295, € 	25.36 
,,,STARTER 3,"7,729",208, € 	37.16 
,,POWDER,STARTER 1,,,
,,TRAP,STARTER 1,"9,153",642, € 	14.26 
,,,STARTER 2,178,7, € 	25.41 
,,,STARTER 3,192,11, € 	17.49 
Personal,MOSQUITO,,STARTER 1,"29,106",1424, € 	20.44 
,,,STARTER 2,,,
,,AEROSOL,STARTER 1,"167,464",23904, € 	7.01 
,,,STARTER 2,"19,823",1208, € 	16.41 
,,,STARTER 3,"7,650",357, € 	21.43 
,,,STARTER 4,"9,102",360, € 	25.28 
,,,STARTER 5,"39,412",1240, € 	31.78 
,,,STARTER 6,"24,264",730, € 	33.24 
,,CLIP ON,STARTER 1,72,4, € 	18.04 
,,COIL,STARTER AO,185,20, € 	9.27 
,,ELECTRIC SAND,STARTER 1,"1,330",82, € 	16.22 
,,GEL TUBE,STARTER 1,"11,802",1179, € 	10.01 
,,,STARTER 2,,,
,,,STARTER 3,521,26, € 	20.06 
,,,STARTER 4,,,
,,LIQUID BOTTLE,STARTER 1,"79,702",3529, € 	22.58 
,,LIQUID PUMP,STARTER 1,"1,594,275",227875, € 	7.00 
,,,STARTER 2,"93,873",5590, € 	16.79 
,,,STARTER 3,"88,240",3227, € 	27.34 
,,,STARTER 4,"63,987",2819, € 	22.70 
,,,STARTER 5,"15,811",537, € 	29.44 
,,,STARTER 6,"25,069",726, € 	34.53 
,,LIQUID TRIGGER,STARTER 1,"156,849",9145, € 	17.15 
,,LOTION PUMP,STARTER 1,"5,829",421, € 	13.85 
,,,STARTER 3,"6,998",321, € 	21.80 
,,LOTION TRIGGER,STARTER 1,,,
,,LOTION TUBE,STARTER 1,"51,894",4906, € 	10.58 
,,,STARTER 2,"10,640",487, € 	21.85 
,,TRAP,STARTER 4,76,6, € 	12.62 
,,WRISTBAND,STARTER 1,"127,480",8604, € 	14.82 
,,,STARTER 2,,,
,,,STARTER AO,288,14, € 	20.55 
,MULTI FLYING & CRAWLING,LIQUID PUMP,STARTER 1,"10,330",605, € 	17.07 
,,,STARTER 2,"1,328",52, € 	25.53 
,,LIQUID TRIGGER,STARTER 1,"3,129",167, € 	18.74 
,,LOTION BOTTLE,STARTER 1,"10,785",783, € 	13.77 
,OTHER CRAWLING,,STARTER 1,"2,318",195, € 	11.89 
,,LIQUID PUMP,STARTER 1,"163,721",18860, € 	8.68 
,,,STARTER 2,"10,982",614, € 	17.89 
,,,STARTER 3,"10,731",413, € 	25.98 
,,,STARTER 6,"13,687",392, € 	34.92 
,,LIQUID TRIGGER,STARTER 1,"5,479",392, € 	13.98 
,OTHER FLYING,LIQUID PUMP,STARTER 1,"3,319",369, € 	8.99 
PERSONAL AFTERBITE,ALL,,STARTER 3,0,0,
,,GEL BOTTLE,STARTER 1,0,0,
,,,STARTER 2,0,0,
,,,STARTER 3,0,0,
,,,STARTER 5,0,0,
,,GEL TUBE,STARTER 1,0,0,
,,LOTION TUBE,STARTER 1,0,0,
,,PEN,STARTER 1,0,0,
,,,STARTER 2,0,0,
,,,STARTER 3,0,0,
,MOSQUITO,,STARTER 3,686,66, € 	10.39 
,,LOTION TUBE,STARTER 1,"3,466",439, € 	7.89 
,,PEN,STARTER 1,126,16, € 	7.90 
,,,STARTER 2,"3,869",293, € 	13.20 
,,,STARTER 3,"5,567",320, € 	17.40 
,OTHER FLYING,GEL BOTTLE,STARTER 1,"61,841",15092, € 	4.10 
,,,STARTER 2,"22,257",1652, € 	13.47 
,,,STARTER 3,"6,406",331, € 	19.35 
,,,STARTER 5,"7,980",346, € 	23.06 
,,GEL TUBE,STARTER 1,"1,276",137, € 	9.32 
Grand Total,,,,"55,946,829",3073647, € 	18.20 